N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1.0,삼성전자,53700.0,상승  100,+0.19%,100.0,53500.0,54100.0,53200.0
2.0,SK하이닉스,174500.0,"상승  4,400",+2.59%,5000.0,170100.0,176000.0,170000.0
3.0,LG에너지솔루션,348000.0,"상승  3,500",+1.02%,500.0,341000.0,350500.0,340500.0
4.0,삼성바이오로직스,934000.0,"하락  3,000",-0.32%,2500.0,933000.0,940000.0,920000.0
5.0,현대차,215000.0,"하락  2,500",-1.15%,5000.0,217000.0,217500.0,213500.0
6.0,기아,100900.0,"하락  2,000",-1.94%,5000.0,101100.0,101800.0,100000.0
7.0,셀트리온,180400.0,"하락  2,500",-1.37%,1000.0,183200.0,185800.0,176800.0
8.0,삼성전자우,44800.0,상승  150,+0.34%,100.0,44500.0,44900.0,44300.0
9.0,KB금융,85000.0,하락  500,-0.58%,5000.0,84500.0,85500.0,84300.0
10.0,NAVER,197700.0,"하락  2,200",-1.10%,100.0,198700.0,200500.0,195500.0
11.0,HD현대중공업,289500.0,"하락  8,500",-2.85%,5000.0,297000.0,298500.0,284000.0
12.0,신한지주,48350.0,하락  550,-1.12%,5000.0,48450.0,48900.0,48000.0
13.0,현대모비스,236500.0,"하락  5,500",-2.27%,5000.0,240500.0,243000.0,234500.0
14.0,고려아연,1027000.0,"하락  192,000",-15.75%,5000.0,1220000.0,1228000.0,1027000.0
15.0,POSCO홀딩스,253500.0,"하락  2,500",-0.98%,5000.0,253500.0,259500.0,250000.0
16.0,삼성물산,115800.0,"하락  1,800",-1.53%,100.0,116100.0,116900.0,115000.0
17.0,삼성생명,97200.0,"하락  3,300",-3.28%,500.0,97400.0,98300.0,96300.0
18.0,메리츠금융지주,101500.0,"상승  2,500",+2.53%,500.0,98600.0,101800.0,98600.0
19.0,LG화학,247000.0,"하락  1,000",-0.40%,5000.0,244000.0,250000.0,242000.0
20.0,삼성화재,365000.0,"하락  5,000",-1.35%,500.0,364500.0,369000.0,361000.0
21.0,카카오,38850.0,상승  300,+0.78%,100.0,38550.0,39400.0,38350.0
22.0,삼성SDI,248000.0,"상승  1,000",+0.40%,5000.0,245500.0,250000.0,242500.0
23.0,SK이노베이션,111000.0,"하락  1,500",-1.33%,5000.0,111700.0,113700.0,110000.0
24.0,하나금융지주,57600.0,하락  700,-1.20%,5000.0,57500.0,58000.0,57100.0
25.0,HD한국조선해양,231000.0,"하락  4,500",-1.91%,5000.0,233500.0,235500.0,227500.0
26.0,HMM,17530.0,하락  490,-2.72%,5000.0,17840.0,17900.0,17500.0
27.0,크래프톤,310000.0,"상승  3,000",+0.98%,100.0,309500.0,315000.0,305500.0
28.0,한화에어로스페이스,319000.0,"하락  4,500",-1.39%,5000.0,321500.0,327500.0,318000.0
29.0,HD현대일렉트릭,391500.0,상승  500,+0.13%,5000.0,387500.0,394500.0,382500.0
30.0,LG전자,84500.0,"하락  1,200",-1.40%,5000.0,85000.0,85700.0,83700.0
31.0,KT&G,107600.0,"하락  1,700",-1.56%,5000.0,108300.0,109100.0,107000.0
32.0,한국전력,20000.0,하락  400,-1.96%,5000.0,20250.0,20350.0,19830.0
33.0,SK텔레콤,56300.0,하락  400,-0.71%,100.0,56300.0,56800.0,56100.0
34.0,LG,73400.0,하락  700,-0.94%,5000.0,73200.0,74000.0,72700.0
35.0,기업은행,14450.0,하락  230,-1.57%,5000.0,14410.0,14500.0,14340.0
36.0,우리금융지주,15390.0,하락  220,-1.41%,5000.0,15440.0,15490.0,15340.0
37.0,KT,45000.0,하락  500,-1.10%,5000.0,45000.0,45400.0,44500.0
38.0,한화오션,36900.0,하락  850,-2.25%,5000.0,37650.0,38000.0,36350.0
39.0,두산에너빌리티,17620.0,하락  240,-1.34%,5000.0,18130.0,18180.0,17430.0
40.0,포스코퓨처엠,142400.0,하락  200,-0.14%,500.0,141200.0,146200.0,139500.0
41.0,SK스퀘어,79900.0,"하락  1,000",-1.24%,100.0,80100.0,82200.0,79300.0
42.0,카카오뱅크,21600.0,하락  200,-0.92%,5000.0,21650.0,22050.0,21400.0
43.0,삼성중공업,11310.0,하락  290,-2.50%,1000.0,11600.0,11640.0,11270.0
44.0,삼성에스디에스,127800.0,"하락  1,500",-1.16%,500.0,128000.0,128700.0,125400.0
45.0,SK,135100.0,"하락  1,600",-1.17%,200.0,136400.0,137600.0,134200.0
46.0,삼성전기,124500.0,"하락  1,400",-1.11%,5000.0,125000.0,126800.0,123400.0
47.0,KODEX CD금리액티브(합성),1058490.0,상승  285,+0.03%,0.0,1058485.0,1058490.0,1058485.0
48.0,유한양행,112300.0,"하락  3,000",-2.60%,1000.0,115000.0,115700.0,111600.0
49.0,현대글로비스,117300.0,"하락  1,800",-1.51%,500.0,118600.0,118600.0,116200.0
50.0,대한항공,23300.0,하락  500,-2.10%,5000.0,23550.0,23600.0,23200.0
51.0,SK바이오팜,103800.0,상승  500,+0.48%,500.0,102600.0,106100.0,102600.0
52.0,한미반도체,83200.0,상승  700,+0.85%,100.0,82000.0,85900.0,81900.0
53.0,하이브,191700.0,"하락  3,800",-1.94%,500.0,195100.0,195500.0,190000.0
54.0,DB손해보험,104100.0,"하락  1,200",-1.14%,500.0,103200.0,105100.0,103100.0
55.0,HD현대마린솔루션,161000.0,상승  800,+0.50%,500.0,160200.0,163500.0,157400.0
56.0,TIGER 미국S&P500,22015.0,하락  40,-0.18%,0.0,22055.0,22330.0,22015.0
57.0,포스코인터내셔널,39800.0,"하락  1,550",-3.75%,5000.0,40850.0,41700.0,39600.0
58.0,TIGER CD금리투자KIS(합성),55475.0,상승  15,+0.03%,0.0,55470.0,55475.0,55470.0
59.0,HD현대,80200.0,"하락  2,400",-2.91%,1000.0,82000.0,82300.0,79700.0
60.0,S-Oil,55000.0,하락  900,-1.61%,2500.0,55100.0,55500.0,54500.0
61.0,아모레퍼시픽,105100.0,"하락  3,000",-2.78%,500.0,106900.0,108400.0,103600.0
62.0,삼양식품,759000.0,"하락  6,000",-0.78%,5000.0,759000.0,783000.0,751000.0
63.0,현대차2우B,158000.0,"하락  1,400",-0.88%,5000.0,157800.0,158800.0,156600.0
64.0,KODEX 200,32145.0,하락  90,-0.28%,0.0,32180.0,32320.0,31875.0
65.0,HD현대미포,135000.0,하락  600,-0.44%,5000.0,135600.0,136700.0,133000.0
66.0,현대로템,48750.0,하락  600,-1.22%,5000.0,49350.0,51400.0,48100.0
67.0,한국항공우주,54400.0,"하락  1,300",-2.33%,5000.0,55400.0,56100.0,53800.0
68.0,맥쿼리인프라,10830.0,하락  280,-2.52%,0.0,10750.0,10830.0,10750.0
69.0,한진칼,74400.0,하락  600,-0.80%,2500.0,74300.0,75400.0,74200.0
70.0,코웨이,67200.0,하락  600,-0.88%,500.0,67300.0,68700.0,66800.0
71.0,LS ELECTRIC,160000.0,상승  600,+0.38%,5000.0,158500.0,160900.0,154200.0
72.0,LG생활건강,307000.0,"하락  2,500",-0.81%,5000.0,309000.0,311000.0,304000.0
73.0,미래에셋증권,8100.0,하락  150,-1.82%,5000.0,8200.0,8210.0,7990.0
74.0,한국타이어앤테크놀로지,37900.0,하락  950,-2.45%,500.0,38450.0,38800.0,37600.0
75.0,LG유플러스,10670.0,하락  80,-0.74%,5000.0,10650.0,10720.0,10520.0
76.0,삼성카드,39950.0,"하락  1,000",-2.44%,5000.0,40500.0,40650.0,39800.0
77.0,LG디스플레이,9210.0,하락  160,-1.71%,5000.0,9370.0,9490.0,9180.0
78.0,NH투자증권,13950.0,하락  190,-1.34%,5000.0,13920.0,14050.0,13870.0
79.0,TIGER 미국나스닥100,141825.0,하락  665,-0.47%,0.0,142490.0,143900.0,141825.0
80.0,에코프로머티,65300.0,"하락  1,600",-2.39%,500.0,66500.0,67800.0,64900.0
81.0,LIG넥스원,206500.0,"하락  4,000",-1.90%,5000.0,210000.0,214000.0,204500.0
82.0,넷마블,51400.0,하락  900,-1.72%,100.0,52600.0,53000.0,50900.0
83.0,두산밥캣,43600.0,"하락  1,750",-3.86%,500.0,44750.0,44850.0,42600.0
84.0,KODEX KOFR금리액티브(합성),109070.0,상승  25,+0.02%,0.0,109065.0,109070.0,109065.0
85.0,두산,255000.0,"하락  1,500",-0.58%,5000.0,258000.0,267500.0,250000.0
86.0,엔씨소프트,191600.0,"하락  10,400",-5.15%,500.0,202000.0,202000.0,191200.0
87.0,한화시스템,21900.0,"하락  1,100",-4.78%,5000.0,22850.0,23100.0,21700.0
88.0,오리온,104300.0,하락  500,-0.48%,500.0,103200.0,105600.0,102900.0
89.0,SKC,106900.0,"하락  2,900",-2.64%,5000.0,108900.0,110800.0,105000.0
90.0,KODEX 머니마켓액티브,101530.0,상승  25,+0.02%,0.0,101525.0,101530.0,101525.0
91.0,삼성증권,44100.0,"하락  3,900",-8.12%,5000.0,45000.0,45600.0,43150.0
92.0,한국금융지주,70600.0,"하락  1,900",-2.62%,5000.0,71500.0,72300.0,70000.0
93.0,SK바이오사이언스,49950.0,상승  700,+1.42%,500.0,49350.0,49950.0,49000.0
94.0,LG이노텍,162600.0,"하락  4,100",-2.46%,5000.0,165800.0,169000.0,161500.0
95.0,CJ제일제당,255500.0,"하락  5,500",-2.11%,5000.0,258500.0,260000.0,251500.0
96.0,GS,39850.0,"하락  1,150",-2.80%,5000.0,40550.0,40850.0,39650.0
97.0,현대차우,153600.0,"하락  1,800",-1.16%,5000.0,153900.0,155300.0,152800.0
98.0,시프트업,62700.0,"상승  1,800",+2.96%,200.0,61400.0,63000.0,60600.0
99.0,효성중공업,386500.0,"하락  3,000",-0.77%,5000.0,391000.0,397000.0,386000.0
100.0,카카오페이,26550.0,상승  600,+2.31%,500.0,26000.0,27050.0,25850.0
101.0,KODEX 미국S&P500TR,20190.0,하락  25,-0.12%,0.0,20220.0,20485.0,20190.0
102.0,TIGER KOFR금리액티브(합성),107585.0,상승  25,+0.02%,0.0,107580.0,107585.0,107575.0
103.0,한미약품,273000.0,"하락  2,000",-0.73%,2500.0,276000.0,283000.0,270000.0
104.0,현대오토에버,126600.0,하락  900,-0.71%,500.0,127400.0,128600.0,125600.0
105.0,강원랜드,16160.0,하락  500,-3.00%,500.0,16460.0,16510.0,16140.0
106.0,BNK금융지주,10420.0,하락  170,-1.61%,5000.0,10450.0,10490.0,10240.0
107.0,두산로보틱스,50700.0,"하락  1,500",-2.87%,500.0,52500.0,52800.0,50100.0
108.0,TIGER 미국테크TOP10 INDXX,26175.0,하락  155,-0.59%,0.0,26280.0,26555.0,26175.0
109.0,삼성E&A,16500.0,하락  120,-0.72%,5000.0,16500.0,16630.0,16360.0
110.0,JB금융지주,16340.0,하락  250,-1.51%,5000.0,16360.0,16430.0,16160.0
